step,avg_overlap_ratio
1,0.9776
2,0.9785999999999999
4,0.9789
6,0.9803000000000001
8,0.9772000000000001
10,0.9732
12,0.9743
14,0.9644999999999999
16,0.9621999999999999
18,0.958
20,0.9551000000000001
22,0.9397
24,0.9318
26,0.9167
28,0.9099
30,0.8948
32,0.8808999999999999
34,0.8825
36,0.8789999999999999
38,0.8712
40,0.8672000000000001
42,0.8617000000000001
44,0.8562
46,0.8611000000000001
48,0.8525
50,0.8436999999999999
52,0.8349
54,0.8196999999999999
56,0.8207000000000001
58,0.8089999999999999
60,0.8094999999999999
62,0.7958999999999999
64,0.7903
66,0.7759
68,0.6799999999999999
70,0.6748000000000001
72,0.6977
74,0.7272000000000001
76,0.7477
78,0.7647
80,0.7736
82,0.7725
84,0.7791
86,0.7881
88,0.7852
90,0.7787
92,0.7539
94,0.7397
96,0.6923
98,0.6809000000000001
100,0.6731
102,0.6677
104,0.6694
106,0.67
108,0.6792
110,0.6811
112,0.6672
114,0.6529
116,0.6534
118,0.6426999999999999
120,0.6275999999999999
122,0.6042
124,0.5921000000000001
126,0.5883
128,0.5828
130,0.5817
132,0.5701
134,0.549
136,0.5362
138,0.539
140,0.5243
142,0.49640000000000006
144,0.48979999999999996
146,0.502
148,0.4821
150,0.4796
152,0.49559999999999993
154,0.48599999999999993
156,0.446
158,0.4274
160,0.4321
162,0.4499000000000001
164,0.44279999999999997
166,0.4426
168,0.4525
170,0.4405
172,0.41000000000000003
174,0.39249999999999996
176,0.3654
178,0.3594
180,0.34950000000000003
182,0.3459
184,0.3424
186,0.3384
188,0.3516
190,0.3278
192,0.2894
194,0.2687
196,0.2793
198,0.2808
200,0.2591
202,0.244
204,0.2121
206,0.1837
208,0.1905
210,0.21339999999999998
212,0.2265
214,0.2272
216,0.22080000000000002
218,0.19219999999999998
220,0.16970000000000002
222,0.1599
224,0.1714
226,0.1855
228,0.19180000000000003
230,0.1736
232,0.1658
234,0.1906
236,0.21760000000000002
238,0.231
240,0.22490000000000002
242,0.2101
244,0.1733
246,0.1494
248,0.15489999999999998
250,0.1716
252,0.1867
254,0.20129999999999998
256,0.1733
258,0.1513
260,0.1635
262,0.1705
264,0.1514
266,0.1409
268,0.1313
270,0.1299
272,0.156
274,0.193
276,0.18739999999999998
278,0.15689999999999998
280,0.1271
282,0.124
284,0.1365
286,0.1457
288,0.1628
290,0.1776
292,0.1534
294,0.13040000000000002
296,0.1212
298,0.12190000000000001
300,0.1167
302,0.1117
304,0.12010000000000001
306,0.1269
308,0.1374
310,0.1312
312,0.1293
314,0.1339
316,0.1598
318,0.1742
320,0.1526
322,0.1126
324,0.1018
326,0.1206
328,0.1574
330,0.15889999999999999
332,0.13820000000000002
334,0.1176
336,0.1041
338,0.12090000000000001
340,0.1299
342,0.1359
344,0.132
346,0.11200000000000002
348,0.10069999999999998
350,0.10569999999999999
352,0.12050000000000001
354,0.1271
356,0.13269999999999998
358,0.1257
360,0.11599999999999999
362,0.1145
364,0.11679999999999999
366,0.11779999999999999
368,0.1153
370,0.1173
372,0.1173
374,0.1214
376,0.1266
378,0.1417
380,0.1373
382,0.1282
384,0.1199
386,0.11040000000000001
388,0.10779999999999998
390,0.1099
392,0.1149
394,0.119
396,0.11850000000000001
398,0.1177
400,0.1042
402,0.09690000000000001
404,0.0938
406,0.0964
408,0.1083
410,0.11410000000000001
412,0.1173
414,0.1153
416,0.1173
418,0.12040000000000002
420,0.126
422,0.1292
424,0.1344
426,0.1412
428,0.13999999999999999
430,0.1336
432,0.12279999999999999
434,0.1111
436,0.1076
438,0.11299999999999999
440,0.1203
442,0.1292
444,0.13720000000000002
446,0.1422
448,0.1493
450,0.1511
452,0.1454
454,0.1393
456,0.1336
458,0.1319
460,0.1291
462,0.1338
464,0.13599999999999998
466,0.1401
468,0.14279999999999998
470,0.1437
472,0.1442
474,0.1429
476,0.1423
478,0.1401
480,0.1389
482,0.1398
484,0.1403
486,0.1399
488,0.143
490,0.1443
492,0.1442
494,0.1444
496,0.1447
498,0.1446
500,0.1452
