threshold,same_n,diff_n,total_n,tp,fn,tn,fp,tpr,fnr,tnr,fpr,accuracy,precision,f1
0.0,117,104,221,117,0,0,104,1.0,0.0,0.0,1.0,0.5294117647058824,0.5294117647058824,0.6923076923076924
0.005,117,104,221,114,3,100,4,0.9743589743589743,0.02564102564102564,0.9615384615384616,0.038461538461538464,0.9683257918552036,0.9661016949152542,0.9702127659574468
0.01,117,104,221,111,6,104,0,0.9487179487179487,0.05128205128205128,1.0,0.0,0.9728506787330317,1.0,0.9736842105263158
0.02,117,104,221,107,10,104,0,0.9145299145299145,0.08547008547008547,1.0,0.0,0.9547511312217195,1.0,0.9553571428571429
0.025,117,104,221,106,11,104,0,0.905982905982906,0.09401709401709402,1.0,0.0,0.9502262443438914,1.0,0.9506726457399104
0.03,117,104,221,105,12,104,0,0.8974358974358975,0.10256410256410256,1.0,0.0,0.9457013574660633,1.0,0.945945945945946
0.05,117,104,221,100,17,104,0,0.8547008547008547,0.1452991452991453,1.0,0.0,0.9230769230769231,1.0,0.9216589861751151
0.1,117,104,221,94,23,104,0,0.8034188034188035,0.19658119658119658,1.0,0.0,0.8959276018099548,1.0,0.8909952606635071
0.15,117,104,221,88,29,104,0,0.7521367521367521,0.24786324786324787,1.0,0.0,0.8687782805429864,1.0,0.8585365853658536
0.2,117,104,221,85,32,104,0,0.7264957264957265,0.27350427350427353,1.0,0.0,0.8552036199095022,1.0,0.8415841584158416
0.3,117,104,221,75,42,104,0,0.6410256410256411,0.358974358974359,1.0,0.0,0.8099547511312217,1.0,0.7812500000000001
0.5,117,104,221,46,71,104,0,0.39316239316239315,0.6068376068376068,1.0,0.0,0.6787330316742082,1.0,0.5644171779141104
